Pelicula,Cines
Mortal Kombat ,"['Cine Teatro Gustavo Pérez Puig', 'Cines La Vaguada', 'Cines Villa', 'Cinesa  Xanadú', 'Cinesa Equinoccio', 'Cinesa La Gavia', 'Cinesa La Moraleja', 'Cinesa Las Rosas', 'Cinesa Las Rozas - Heron City', 'Cinesa Loranca', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Parquesur', 'Cinesa Príncipe Pío', 'Cinesa Proyecciones', 'Conde Duque Auditorio Morasol', 'Kinépolis Madrid Ciudad de la Imagen', 'Kinépolis Madrid Diversia', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Reston Cinema', 'Spazio Cines', 'Yelmo Cines Ideal', 'Yelmo Cines Islazul', 'Yelmo Cines Luxury Plaza Norte 2', 'Yelmo Cines Palafox', 'Yelmo Cines Planetocio', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
Una joven prometedora ,"['Cines Embajadores', 'Cines La Vaguada', 'Cines Verdi', 'Cinesa  Xanadú', 'Cinesa Equinoccio', 'Cinesa La Gavia', 'Cinesa Las Rosas', 'Cinesa Las Rozas - Heron City', 'Cinesa Loranca', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Parquesur', 'Cinesa Príncipe Pío', 'Cinesa Proyecciones', 'Conde Duque Auditorio Morasol', 'Golem', 'Kinépolis Madrid Ciudad de la Imagen', 'Kinépolis Madrid Diversia', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Renoir Cines Princesa', 'Renoir Retiro', 'Yelmo Cines Ideal', 'Yelmo Cines Islazul', 'Yelmo Cines Luxury Plaza Norte 2', 'Yelmo Cines Palafox', 'Yelmo Cines Planetocio', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
¡Upsss 2! ¿Y ahora dónde está Noé? ,"['Cines Embajadores', 'Cines La Vaguada', 'Cines Villa', 'Cinesa  Xanadú', 'Cinesa Equinoccio', 'Cinesa La Gavia', 'Cinesa La Moraleja', 'Cinesa Las Rosas', 'Cinesa Las Rozas - Heron City', 'Cinesa Loranca', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Parquesur', 'Cinesa Príncipe Pío', 'Cinesa Proyecciones', 'Kinépolis Madrid Ciudad de la Imagen', 'Kinépolis Madrid Diversia', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Reston Cinema', 'Spazio Cines', 'Yelmo Cines Islazul', 'Yelmo Cines Luxury Plaza Norte 2', 'Yelmo Cines Planetocio', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
Una veterinaria en la Borgoña ,"['Cines Embajadores', 'Cines La Vaguada', 'Cinesa Equinoccio', 'Cinesa La Moraleja', 'Cinesa Las Rozas - Heron City', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Proyecciones', 'Conde Duque Auditorio Morasol', 'Conde Duque Santa Engracia', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Renoir Cines Princesa', 'Renoir Retiro', 'Yelmo Cines Ideal', 'Yelmo Cines Tresaguas']"
Detective Conan: La bala escarlata ,"['Cines La Vaguada', 'Yelmo Cines Ideal']"
Crock of Gold: Bebiendo con Shane MacGowan ,"['Cines Verdi', 'Conde Duque Verdi Alberto Aguilera', 'Golem', 'Yelmo Cines Ideal']"
Natura Bizia ,['Golem']
Amanece en Calcuta ,"['Cines La Vaguada', 'Cines Verdi', 'Cinesa Equinoccio', 'Cinesa Las Rozas - Heron City', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Conde Duque Auditorio Morasol', 'Conde Duque Santa Engracia', 'Conde Duque Verdi Alberto Aguilera', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Reston Cinema', 'Yelmo Cines Islazul', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Tresaguas']"
Palm Springs ,[]
Zog y los doctores voladores (C),[]
