Pelicula,Cines
Aquellos que desean mi muerte ,"['Cines La Vaguada', 'Cinesa  Xanadú', 'Cinesa Equinoccio', 'Cinesa La Gavia', 'Cinesa La Moraleja', 'Cinesa Las Rosas', 'Cinesa Las Rozas - Heron City', 'Cinesa Loranca', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Parquesur', 'Cinesa Príncipe Pío', 'Cinesa Proyecciones', 'Conde Duque Auditorio Morasol', 'Conde Duque Santa Engracia', 'Conde Duque Verdi Alberto Aguilera', 'Kinépolis Madrid Ciudad de la Imagen', 'Kinépolis Madrid Diversia', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Renoir Cines Princesa', 'Reston Cinema', 'Spazio Cines', 'Yelmo Cines Islazul', 'Yelmo Cines Luxury Plaza Norte 2', 'Yelmo Cines Palafox', 'Yelmo Cines Planetocio', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
El olvido que seremos ,"['Cines Embajadores', 'Cines La Vaguada', 'Cines Verdi', 'Cinesa Equinoccio', 'Cinesa La Moraleja', 'Cinesa Las Rozas - Heron City', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Proyecciones', 'Conde Duque Auditorio Morasol', 'Golem', 'Kinépolis Madrid Ciudad de la Imagen', 'Kinépolis Madrid Diversia', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Renoir Cines Princesa', 'Renoir Retiro', 'Reston Cinema', 'Spazio Cines', 'Yelmo Cines Ideal', 'Yelmo Cines Palafox', 'Yelmo Cines Planetocio', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
Tiburón blanco ,"['Cinesa  Xanadú', 'Cinesa Equinoccio', 'Cinesa La Gavia', 'Cinesa Las Rosas', 'Cinesa Las Rozas - Heron City', 'Cinesa Loranca', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Parquesur', 'Cinesa Príncipe Pío', 'Cinesa Proyecciones', 'Conde Duque Santa Engracia', 'Kinépolis Madrid Ciudad de la Imagen', 'Kinépolis Madrid Diversia', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Reston Cinema', 'Yelmo Cines Islazul', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
4 días ,"['Cines La Vaguada', 'Cinesa Las Rozas - Heron City', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Conde Duque Auditorio Morasol', 'Kinépolis Madrid Ciudad de la Imagen', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Renoir Cines Princesa', 'Yelmo Cines Rivas H2O']"
"Quo Vadis, Aida? ","['Cines Embajadores', 'Cines La Vaguada', 'Cines Verdi', 'Cinesa Las Rozas - Heron City', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Renoir Plaza España', 'Renoir Retiro', 'Yelmo Cines Ideal']"
Boda sin fin ,"['Cinesa Las Rozas - Heron City', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro']"
El señor de los anillos: Las dos torres ,"['Cines La Vaguada', 'Cinesa  Xanadú', 'Cinesa Equinoccio', 'Cinesa La Gavia', 'Cinesa La Moraleja', 'Cinesa Las Rosas', 'Cinesa Las Rozas - Heron City', 'Cinesa Loranca', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Parquesur', 'Cinesa Príncipe Pío', 'Cinesa Proyecciones', 'Kinépolis Madrid Ciudad de la Imagen', 'Kinépolis Madrid Diversia', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Reston Cinema', 'Spazio Cines', 'Yelmo Cines Ideal', 'Yelmo Cines Islazul', 'Yelmo Cines Luxury Plaza Norte 2', 'Yelmo Cines Palafox', 'Yelmo Cines Planetocio', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
Masacre: Ven y mira ,[]
Más allá de las estrellas. Fotografiando un agujero negro ,[]
Chaos Walking ,"['Cines La Vaguada', 'Cinesa  Xanadú', 'Cinesa Equinoccio', 'Cinesa La Gavia', 'Cinesa La Moraleja', 'Cinesa Las Rosas', 'Cinesa Las Rozas - Heron City', 'Cinesa Loranca', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Parquesur', 'Cinesa Príncipe Pío', 'Cinesa Proyecciones', 'Conde Duque Auditorio Morasol', 'Kinépolis Madrid Ciudad de la Imagen', 'Kinépolis Madrid Diversia', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Reston Cinema', 'Spazio Cines', 'Yelmo Cines Ideal', 'Yelmo Cines Islazul', 'Yelmo Cines Luxury Plaza Norte 2', 'Yelmo Cines Palafox', 'Yelmo Cines Planetocio', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
Nadie ,"['Cines La Vaguada', 'Cinesa  Xanadú', 'Cinesa Equinoccio', 'Cinesa La Gavia', 'Cinesa La Moraleja', 'Cinesa Las Rosas', 'Cinesa Las Rozas - Heron City', 'Cinesa Loranca', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Parquesur', 'Cinesa Príncipe Pío', 'Cinesa Proyecciones', 'Conde Duque Auditorio Morasol', 'Kinépolis Madrid Ciudad de la Imagen', 'Kinépolis Madrid Diversia', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Reston Cinema', 'Spazio Cines', 'Yelmo Cines Ideal', 'Yelmo Cines Islazul', 'Yelmo Cines Luxury Plaza Norte 2', 'Yelmo Cines Palafox', 'Yelmo Cines Planetocio', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
Earwig y la bruja ,"['Cinesa Las Rozas - Heron City', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Parquesur', 'Conde Duque Auditorio Morasol', 'Yelmo Cines Islazul', 'Yelmo Cines Planetocio', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
El fotógrafo de Minamata ,"['Cines La Vaguada', 'Cines Verdi', 'Cinesa Equinoccio', 'Cinesa La Moraleja', 'Cinesa Las Rozas - Heron City', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Proyecciones', 'Conde Duque Auditorio Morasol', 'Conde Duque Santa Engracia', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Renoir Cines Princesa']"
Police ,['Yelmo Cines Rivas H2O']
Crónica de una tormenta ,"['Cines Embajadores', 'Cinesa Las Rozas - Heron City', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Conde Duque Santa Engracia', 'Renoir Cines Princesa', 'Zoco Majadahonda']"
